,Date,year,month,day,flow
13272,1969-12-20,1969,12,20,"13,6882"
13936,1969-12-21,1969,12,21,"13,2798"
14600,1969-12-22,1969,12,22,"13,2798"
15264,1969-12-23,1969,12,23,"13,2798"
15928,1969-12-24,1969,12,24,"17,1168"
16592,1969-12-25,1969,12,25,"17,1168"
17256,1969-12-26,1969,12,26,"17,1168"
17920,1969-12-27,1969,12,27,"16,2331"
18584,1969-12-28,1969,12,28,"16,2331"
19248,1969-12-29,1969,12,29,"23,2716"
19912,1969-12-30,1969,12,30,"25,3033"
20576,1969-12-31,1969,12,31,"20,8218"
655,1970-01-01,1970,1,1,"23,2716"
1319,1970-01-02,1970,1,2,"20,8218"
1983,1970-01-03,1970,1,3,"19,8704"
2647,1970-01-04,1970,1,4,"16,6728"
3311,1970-01-05,1970,1,5,"14,9405"
3975,1970-01-06,1970,1,6,"13,2798"
4639,1970-01-07,1970,1,7,"15,367"
5303,1970-01-08,1970,1,8,"15,367"
5967,1970-01-09,1970,1,9,"14,9405"
6631,1970-01-10,1970,1,10,"18,0177"
7295,1970-01-11,1970,1,11,"25,3033"
7959,1970-01-12,1970,1,12,"35,7861"
8623,1970-01-13,1970,1,13,"35,7861"
9287,1970-01-14,1970,1,14,"35,7861"
9951,1970-01-15,1970,1,15,"31,7682"
10615,1970-01-16,1970,1,16,"27,3975"
11279,1970-01-17,1970,1,17,"43,078"
11943,1970-01-18,1970,1,18,"49,5299"
12607,1970-01-19,1970,1,19,"46,2622"
13271,1970-01-20,1970,1,20,"36,3745"
13935,1970-01-21,1970,1,21,"43,078"
14599,1970-01-22,1970,1,22,"59,8197"
15263,1970-01-23,1970,1,23,"59,8197"
15927,1970-01-24,1970,1,24,"39,9789"
16591,1970-01-25,1970,1,25,"27,9307"
17255,1970-01-26,1970,1,26,"26,8682"
17919,1970-01-27,1970,1,27,"65,5973"
18583,1970-01-28,1970,1,28,"90,9082"
19247,1970-01-29,1970,1,29,"114,0747"
19911,1970-01-30,1970,1,30,"76,1756"
20575,1970-01-31,1970,1,31,"58,4064"
654,1970-02-01,1970,2,1,"41,8281"
1318,1970-02-02,1970,2,2,"38,7634"
1982,1970-02-03,1970,2,3,"39,9789"
2646,1970-02-04,1970,2,4,"36,9664"
3310,1970-02-05,1970,2,5,"34,0425"
3974,1970-02-06,1970,2,6,"31,2088"
4638,1970-02-07,1970,2,7,"36,3745"
5302,1970-02-08,1970,2,8,"32,3313"
5966,1970-02-09,1970,2,9,"31,2088"
6630,1970-02-10,1970,2,10,"30,1012"
7294,1970-02-11,1970,2,11,"35,2013"
7958,1970-02-12,1970,2,12,"32,8981"
8622,1970-02-13,1970,2,13,"32,8981"
9286,1970-02-14,1970,2,14,"36,9664"
9950,1970-02-15,1970,2,15,"33,4684"
10614,1970-02-16,1970,2,16,"48,2129"
11278,1970-02-17,1970,2,17,"48,2129"
11942,1970-02-18,1970,2,18,"43,078"
12606,1970-02-19,1970,2,19,"48,8697"
13270,1970-02-20,1970,2,20,"36,9664"
13934,1970-02-21,1970,2,21,"36,9664"
14598,1970-02-22,1970,2,22,"38,7634"
15262,1970-02-23,1970,2,23,"40,5918"
15926,1970-02-24,1970,2,24,"43,078"
16590,1970-02-25,1970,2,25,"56,31"
17254,1970-02-26,1970,2,26,"47,5593"
17918,1970-02-27,1970,2,27,"39,9789"
18582,1970-02-28,1970,2,28,"44,9784"
653,1970-03-01,1970,3,1,"46,9091"
1317,1970-03-02,1970,3,2,"54,2421"
1981,1970-03-03,1970,3,3,"47,5593"
2645,1970-03-04,1970,3,4,"43,078"
3309,1970-03-05,1970,3,5,"37,5619"
3973,1970-03-06,1970,3,6,"36,9664"
4637,1970-03-07,1970,3,7,"36,9664"
5301,1970-03-08,1970,3,8,"36,9664"
5965,1970-03-09,1970,3,9,"35,2013"
6629,1970-03-10,1970,3,10,"35,2013"
7293,1970-03-11,1970,3,11,"35,2013"
7957,1970-03-12,1970,3,12,"32,8981"
8621,1970-03-13,1970,3,13,"35,7861"
9285,1970-03-14,1970,3,14,"36,9664"
9949,1970-03-15,1970,3,15,"36,9664"
10613,1970-03-16,1970,3,16,"35,2013"
11277,1970-03-17,1970,3,17,"31,7682"
11941,1970-03-18,1970,3,18,"31,7682"
12605,1970-03-19,1970,3,19,"31,7682"
13269,1970-03-20,1970,3,20,"31,7682"
13933,1970-03-21,1970,3,21,"30,1012"
14597,1970-03-22,1970,3,22,"27,9307"
15261,1970-03-23,1970,3,23,"27,9307"
15925,1970-03-24,1970,3,24,"26,3427"
16589,1970-03-25,1970,3,25,"26,3427"
17253,1970-03-26,1970,3,26,"27,9307"
17917,1970-03-27,1970,3,27,"31,2088"
18581,1970-03-28,1970,3,28,"28,4676"
19245,1970-03-29,1970,3,29,"28,4676"
19909,1970-03-30,1970,3,30,"28,4676"
20573,1970-03-31,1970,3,31,"26,8682"
652,1970-04-01,1970,4,1,"26,8682"
1316,1970-04-02,1970,4,2,"26,8682"
1980,1970-04-03,1970,4,3,"25,8211"
2644,1970-04-04,1970,4,4,"25,8211"
3308,1970-04-05,1970,4,5,"25,8211"
3972,1970-04-06,1970,4,6,"25,8211"
4636,1970-04-07,1970,4,7,"26,3427"
5300,1970-04-08,1970,4,8,"26,3427"
5964,1970-04-09,1970,4,9,"27,9307"
6628,1970-04-10,1970,4,10,"27,9307"
7292,1970-04-11,1970,4,11,"27,9307"
7956,1970-04-12,1970,4,12,"27,9307"
8620,1970-04-13,1970,4,13,"27,9307"
9284,1970-04-14,1970,4,14,"25,8211"
9948,1970-04-15,1970,4,15,"25,8211"
10612,1970-04-16,1970,4,16,"25,8211"
11276,1970-04-17,1970,4,17,"24,7895"
11940,1970-04-18,1970,4,18,"24,7895"
12604,1970-04-19,1970,4,19,"24,7895"
13268,1970-04-20,1970,4,20,"25,8211"
13932,1970-04-21,1970,4,21,"29,5529"
14596,1970-04-22,1970,4,22,"26,3427"
15260,1970-04-23,1970,4,23,"24,2796"
15924,1970-04-24,1970,4,24,"22,7736"
16588,1970-04-25,1970,4,25,"22,7736"
17252,1970-04-26,1970,4,26,"22,7736"
17916,1970-04-27,1970,4,27,"21,7896"
18580,1970-04-28,1970,4,28,"21,7896"
19244,1970-04-29,1970,4,29,"21,3036"
19908,1970-04-30,1970,4,30,"21,3036"
651,1970-05-01,1970,5,1,"20,8218"
1315,1970-05-02,1970,5,2,"20,8218"
1979,1970-05-03,1970,5,3,"20,8218"
2643,1970-05-04,1970,5,4,"20,8218"
3307,1970-05-05,1970,5,5,"20,8218"
3971,1970-05-06,1970,5,6,"20,344"
4635,1970-05-07,1970,5,7,"25,3033"
5299,1970-05-08,1970,5,8,"28,4676"
5963,1970-05-09,1970,5,9,"28,4676"
6627,1970-05-10,1970,5,10,"23,7736"
7291,1970-05-11,1970,5,11,"20,8218"
7955,1970-05-12,1970,5,12,"20,344"
8619,1970-05-13,1970,5,13,"20,344"
9283,1970-05-14,1970,5,14,"19,4009"
9947,1970-05-15,1970,5,15,"19,4009"
10611,1970-05-16,1970,5,16,"19,8704"
11275,1970-05-17,1970,5,17,"19,8704"
11939,1970-05-18,1970,5,18,"19,8704"
12603,1970-05-19,1970,5,19,"19,8704"
13267,1970-05-20,1970,5,20,"19,8704"
13931,1970-05-21,1970,5,21,"19,4009"
14595,1970-05-22,1970,5,22,"19,4009"
15259,1970-05-23,1970,5,23,"19,4009"
15923,1970-05-24,1970,5,24,"19,4009"
16587,1970-05-25,1970,5,25,"19,4009"
17251,1970-05-26,1970,5,26,"18,9356"
17915,1970-05-27,1970,5,27,"18,9356"
18579,1970-05-28,1970,5,28,"18,9356"
19243,1970-05-29,1970,5,29,"18,4745"
19907,1970-05-30,1970,5,30,"18,4745"
20571,1970-05-31,1970,5,31,"17,5651"
650,1970-06-01,1970,6,1,"17,5651"
1314,1970-06-02,1970,6,2,"17,5651"
1978,1970-06-03,1970,6,3,"17,1168"
2642,1970-06-04,1970,6,4,"17,1168"
3306,1970-06-05,1970,6,5,"17,1168"
3970,1970-06-06,1970,6,6,"17,1168"
4634,1970-06-07,1970,6,7,"16,6728"
5298,1970-06-08,1970,6,8,"16,6728"
5962,1970-06-09,1970,6,9,"16,6728"
6626,1970-06-10,1970,6,10,"16,6728"
7290,1970-06-11,1970,6,11,"16,6728"
7954,1970-06-12,1970,6,12,"16,2331"
8618,1970-06-13,1970,6,13,"16,2331"
9282,1970-06-14,1970,6,14,"16,2331"
9946,1970-06-15,1970,6,15,"16,2331"
10610,1970-06-16,1970,6,16,"15,7979"
11274,1970-06-17,1970,6,17,"15,7979"
11938,1970-06-18,1970,6,18,"15,7979"
12602,1970-06-19,1970,6,19,"15,7979"
13266,1970-06-20,1970,6,20,"15,367"
13930,1970-06-21,1970,6,21,"15,367"
14594,1970-06-22,1970,6,22,"15,367"
15258,1970-06-23,1970,6,23,"14,9405"
15922,1970-06-24,1970,6,24,"15,7979"
16586,1970-06-25,1970,6,25,"15,7979"
17250,1970-06-26,1970,6,26,"15,7979"
17914,1970-06-27,1970,6,27,"15,7979"
18578,1970-06-28,1970,6,28,"15,7979"
19242,1970-06-29,1970,6,29,"17,5651"
19906,1970-06-30,1970,6,30,"17,1168"
649,1970-07-01,1970,7,1,"15,7979"
1313,1970-07-02,1970,7,2,"15,7979"
1977,1970-07-03,1970,7,3,"15,367"
2641,1970-07-04,1970,7,4,"15,367"
3305,1970-07-05,1970,7,5,"14,9405"
3969,1970-07-06,1970,7,6,"14,9405"
4633,1970-07-07,1970,7,7,"14,5186"
5297,1970-07-08,1970,7,8,"14,5186"
5961,1970-07-09,1970,7,9,"14,1011"
6625,1970-07-10,1970,7,10,"14,1011"
7289,1970-07-11,1970,7,11,"14,1011"
7953,1970-07-12,1970,7,12,"13,2798"
8617,1970-07-13,1970,7,13,"13,2798"
9281,1970-07-14,1970,7,14,"13,2798"
9945,1970-07-15,1970,7,15,"13,2798"
10609,1970-07-16,1970,7,16,"13,2798"
11273,1970-07-17,1970,7,17,"13,2798"
11937,1970-07-18,1970,7,18,"13,2798"
12601,1970-07-19,1970,7,19,"12,8761"
13265,1970-07-20,1970,7,20,"12,8761"
13929,1970-07-21,1970,7,21,"12,8761"
14593,1970-07-22,1970,7,22,"12,8761"
15257,1970-07-23,1970,7,23,"12,8761"
15921,1970-07-24,1970,7,24,"12,477"
16585,1970-07-25,1970,7,25,"12,477"
17249,1970-07-26,1970,7,26,"12,0826"
17913,1970-07-27,1970,7,27,"12,0826"
18577,1970-07-28,1970,7,28,"12,0826"
19241,1970-07-29,1970,7,29,"12,0826"
19905,1970-07-30,1970,7,30,"11,6929"
20569,1970-07-31,1970,7,31,"11,6929"
648,1970-08-01,1970,8,1,"11,6929"
1312,1970-08-02,1970,8,2,"11,3079"
1976,1970-08-03,1970,8,3,"11,3079"
2640,1970-08-04,1970,8,4,"11,3079"
3304,1970-08-05,1970,8,5,"11,3079"
3968,1970-08-06,1970,8,6,"10,9278"
4632,1970-08-07,1970,8,7,"10,9278"
5296,1970-08-08,1970,8,8,"10,9278"
5960,1970-08-09,1970,8,9,"10,9278"
6624,1970-08-10,1970,8,10,"10,9278"
7288,1970-08-11,1970,8,11,"10,9278"
7952,1970-08-12,1970,8,12,"10,9278"
8616,1970-08-13,1970,8,13,"10,5525"
9280,1970-08-14,1970,8,14,"10,5525"
9944,1970-08-15,1970,8,15,"10,5525"
10608,1970-08-16,1970,8,16,"10,5525"
11272,1970-08-17,1970,8,17,"10,5525"
11936,1970-08-18,1970,8,18,"10,1821"
12600,1970-08-19,1970,8,19,"10,1821"
13264,1970-08-20,1970,8,20,"9,8166"
13928,1970-08-21,1970,8,21,"9,8166"
14592,1970-08-22,1970,8,22,"9,4561"
15256,1970-08-23,1970,8,23,"9,4561"
15920,1970-08-24,1970,8,24,"9,4561"
16584,1970-08-25,1970,8,25,"9,1007"
17248,1970-08-26,1970,8,26,"9,1007"
17912,1970-08-27,1970,8,27,"9,1007"
18576,1970-08-28,1970,8,28,"8,7503"
19240,1970-08-29,1970,8,29,"8,7503"
19904,1970-08-30,1970,8,30,"8,7503"
20568,1970-08-31,1970,8,31,"12,477"
647,1970-09-01,1970,9,1,"12,0826"
1311,1970-09-02,1970,9,2,"10,1821"
1975,1970-09-03,1970,9,3,"9,4561"
2639,1970-09-04,1970,9,4,"9,4561"
3303,1970-09-05,1970,9,5,"9,1007"
3967,1970-09-06,1970,9,6,"9,1007"
4631,1970-09-07,1970,9,7,"9,1007"
5295,1970-09-08,1970,9,8,"8,7503"
5959,1970-09-09,1970,9,9,"8,7503"
6623,1970-09-10,1970,9,10,"8,7503"
7287,1970-09-11,1970,9,11,"8,7503"
7951,1970-09-12,1970,9,12,"8,7503"
8615,1970-09-13,1970,9,13,"8,405"
9279,1970-09-14,1970,9,14,"8,405"
9943,1970-09-15,1970,9,15,"8,405"
10607,1970-09-16,1970,9,16,"8,405"
11271,1970-09-17,1970,9,17,"9,1007"
11935,1970-09-18,1970,9,18,"9,1007"
12599,1970-09-19,1970,9,19,"8,405"
13263,1970-09-20,1970,9,20,"8,405"
13927,1970-09-21,1970,9,21,"8,405"
14591,1970-09-22,1970,9,22,"9,4561"
15255,1970-09-23,1970,9,23,"10,1821"
15919,1970-09-24,1970,9,24,"12,0826"
16583,1970-09-25,1970,9,25,"9,8166"
17247,1970-09-26,1970,9,26,"9,1007"
17911,1970-09-27,1970,9,27,"8,405"
18575,1970-09-28,1970,9,28,"8,065"
19239,1970-09-29,1970,9,29,"8,065"
19903,1970-09-30,1970,9,30,"8,065"
646,1970-10-01,1970,10,1,"7,7302"
1310,1970-10-02,1970,10,2,"7,4006"
1974,1970-10-03,1970,10,3,"8,7503"
2638,1970-10-04,1970,10,4,"10,9278"
3302,1970-10-05,1970,10,5,"12,0826"
3966,1970-10-06,1970,10,6,"10,5525"
4630,1970-10-07,1970,10,7,"12,0826"
5294,1970-10-08,1970,10,8,"8,7503"
5958,1970-10-09,1970,10,9,"7,7302"
6622,1970-10-10,1970,10,10,"7,7302"
7286,1970-10-11,1970,10,11,"7,7302"
7950,1970-10-12,1970,10,12,"7,7302"
8614,1970-10-13,1970,10,13,"7,7302"
9278,1970-10-14,1970,10,14,"7,4006"
9942,1970-10-15,1970,10,15,"7,4006"
10606,1970-10-16,1970,10,16,"8,065"
11270,1970-10-17,1970,10,17,"8,065"
11934,1970-10-18,1970,10,18,"7,7302"
12598,1970-10-19,1970,10,19,"6,7577"
13262,1970-10-20,1970,10,20,"6,7577"
13926,1970-10-21,1970,10,21,"7,4006"
14590,1970-10-22,1970,10,22,"8,405"
15254,1970-10-23,1970,10,23,"11,6929"
15918,1970-10-24,1970,10,24,"9,8166"
16582,1970-10-25,1970,10,25,"8,405"
17246,1970-10-26,1970,10,26,"8,065"
17910,1970-10-27,1970,10,27,"8,065"
18574,1970-10-28,1970,10,28,"8,065"
19238,1970-10-29,1970,10,29,"8,065"
19902,1970-10-30,1970,10,30,"8,065"
20566,1970-10-31,1970,10,31,"7,7302"
645,1970-11-01,1970,11,1,"7,0765"
1309,1970-11-02,1970,11,2,"6,4444"
1973,1970-11-03,1970,11,3,"6,4444"
2637,1970-11-04,1970,11,4,"5,8346"
3301,1970-11-05,1970,11,5,"12,0826"
3965,1970-11-06,1970,11,6,"13,6882"
4629,1970-11-07,1970,11,7,"12,0826"
5293,1970-11-08,1970,11,8,"12,0826"
5957,1970-11-09,1970,11,9,"14,1011"
6621,1970-11-10,1970,11,10,"10,1821"
7285,1970-11-11,1970,11,11,"8,405"
7949,1970-11-12,1970,11,12,"7,7302"
8613,1970-11-13,1970,11,13,"7,7302"
9277,1970-11-14,1970,11,14,"11,3079"
9941,1970-11-15,1970,11,15,"9,8166"
10605,1970-11-16,1970,11,16,"9,8166"
11269,1970-11-17,1970,11,17,"8,405"
11933,1970-11-18,1970,11,18,"7,0765"
12597,1970-11-19,1970,11,19,"6,7577"
13261,1970-11-20,1970,11,20,"6,1367"
13925,1970-11-21,1970,11,21,"6,1367"
14589,1970-11-22,1970,11,22,"11,6929"
15253,1970-11-23,1970,11,23,"10,1821"
15917,1970-11-24,1970,11,24,"10,9278"
16581,1970-11-25,1970,11,25,"7,4006"
17245,1970-11-26,1970,11,26,"6,1367"
17909,1970-11-27,1970,11,27,"6,1367"
18573,1970-11-28,1970,11,28,"11,6929"
19237,1970-11-29,1970,11,29,"13,2798"
19901,1970-11-30,1970,11,30,"10,1821"
644,1970-12-01,1970,12,1,"10,1821"
1308,1970-12-02,1970,12,2,"8,405"
1972,1970-12-03,1970,12,3,"8,405"
2636,1970-12-04,1970,12,4,"14,5186"
3300,1970-12-05,1970,12,5,"9,4561"
3964,1970-12-06,1970,12,6,"7,0765"
4628,1970-12-07,1970,12,7,"5,5382"
5292,1970-12-08,1970,12,8,"5,5382"
5956,1970-12-09,1970,12,9,"5,5382"
6620,1970-12-10,1970,12,10,"4,9628"
